ID,Real_Height,Nom_DegDay_May ,Acc_DegDay,ThermU_Day,Avg_Temp,SolarRadi_Day,Light_Dur_Day,AVG_LightInt_Day,Rain,Wind,RGR,GS_Days,Genotype,Grow_Stg
114,49.8,226,1443,14.2,10.4,4.6,15.3,71.81,1,15,1.426%,-6,G5,1
115,50.9,236,1453,10.3,9.9,1.3,15.1,72.06,0.2,19,2.209%,-5,G5,1
116,52.1,244,1462,8.3,11.5,3.9,16.4,73.19,0,10,2.358%,-4,G5,1
117,53.2,257,1474,12.7,11.5,8.4,16.4,69.18,0.2,29,2.111%,-3,G5,1
118,53.9,265,1482,7.4,13.8,8,16.6,78.49,0,25,1.316%,-2,G5,1
119,53.9,274,1491,9.2,9.4,4.3,16.9,77.72,5.8,25,0.000%,-1,G5,1
120,25.3,51,1269,9.7,10.9,7.5,14.8,95.63,3,19,NAN,-23,GT,1
121,27.9,63,1280,11.4,10.5,6.1,15.4,83.16,3.3,15,10.277%,-22,GT,1
122,28.9,69,1286,6.1,13.3,3.6,15.6,84.54,0,32,3.584%,-21,GT,1
123,29.7,86,1303,16.9,10.8,9.2,15.4,89.83,0,18,2.768%,-20,GT,1
124,30.5,98,1315,11.9,15.6,8,16.1,86.88,0,29,2.694%,-19,GT,1
125,33.1,104,1322,6.5,13.9,8,15.9,85.38,0.7,29,8.525%,-18,GT,1
126,34.9,117,1334,12.4,9.7,9.7,14.6,81.87,0,16,5.438%,-17,GT,1
127,37.1,127,1345,10.7,7.0,0.1,16.1,80.13,0,19,6.304%,-16,GT,1
128,38.6,136,1353,8.2,10.6,5.1,15.9,88.68,0,15,4.043%,-15,GT,1
129,40.4,142,1359,6.6,13.5,6.4,16.1,83.93,0,15,4.663%,-14,GT,1
130,42.1,154,1371,11.5,10.0,6.1,14.6,82.86,2.5,20,4.208%,-13,GT,1
131,43.7,158,1375,4.5,10.6,2.9,16.1,76.2,8.3,22,3.800%,-12,GT,1
132,45.2,166,1384,8.1,10.2,8.2,14.3,73.51,6,24,3.432%,-11,GT,1
133,46.1,177,1394,10.8,9.1,7,14.6,76.05,0,15,1.991%,-10,GT,1
134,47.3,192,1410,15.4,11.2,11.2,14.9,80.59,0,18,2.603%,-9,GT,1
135,47.9,208,1425,15.3,12.8,0.8,16.4,81.92,0,16,1.268%,-8,GT,1
136,49.1,212,1429,3.9,12.8,6.5,16.1,83.24,0,17,2.505%,-7,GT,1
137,50.8,226,1443,14.2,10.4,4.6,15.3,71.81,1,15,3.462%,-6,GT,1
