ID,Real_Height,Nom_DegDay_May ,Acc_DegDay,ThermU_Day,Avg_Temp,SolarRadi_Day,Light_Dur_Day,AVG_LightInt_Day,Rain,Wind,RGR,GS_Days,Genotype,Grow_Stg
333,83.8,503,1721,5.2,13.8,1.7,17.4,96.94,1.5,14,0.842%,2,GT,4
334,84,514,1732,10.9,12.4,3.9,17.1,99.21,9.5,11,0.239%,3,GT,4
335,84.7,521,1738,6.5,16.0,4.2,17.1,95.72,1.1,19,0.833%,4,GT,4
336,85.9,527,1744,6.2,12.6,2.9,17.4,103.57,4.4,19,1.417%,5,GT,4
337,85.9,531,1748,3.9,11.9,0.1,17.4,95.26,0,19,0.000%,6,GT,4
338,86.7,549,1767,18.6,13.5,7,17.4,91.28,0,15,0.931%,7,GT,4
339,86.2,563,1781,13.8,16.0,7.7,17.1,96.02,0,13,-0.577%,8,GT,4
340,87,576,1794,13,17.7,1.1,17.4,100.08,1.8,17,0.928%,9,GT,4
341,87.5,588,1805,11.8,16.7,13,17.1,94.08,0.2,18,0.575%,10,GT,4
342,88.1,598,1815,9.7,15.4,1.7,17.1,94.51,1.2,19,0.686%,11,GT,4
343,88.7,613,1831,15.5,17.1,13.3,17.4,97.31,0,15,0.681%,12,GT,4
344,89.3,630,1847,16.6,16.9,15.7,17.3,97.11,0,16,0.676%,13,GT,4
345,89.2,648,1866,18.5,21.0,9.5,17.4,96.06,0,22,-0.112%,14,GT,4
346,89.5,660,1877,11.6,21.3,9,17.1,98.17,0,15,0.336%,15,GT,4
347,90.7,673,1890,12.8,15.5,11.5,17.4,91.97,3.1,15,1.341%,16,GT,4
348,90.4,687,1905,14.5,21.7,12,17.1,93.93,0,21,-0.331%,17,GT,4
349,94.8,699,1916,11.7,16.85,6,16.7,97.89,4.3,22,-1.147%,1,G1,5
350,94.3,711,1929,12.3,16.25,6.7,16.4,98.88,0.7,18,-0.527%,2,G1,5
351,94.2,722,1939,10.8,17,6.3,16.8,98.88,1.1,22,-0.106%,3,G1,5
352,94.4,729,1946,6.5,16.35,1.7,16.2,102.38,7.8,20,0.212%,4,G1,5
353,94.6,740,1957,11.5,13.05,9.6,16.7,101.64,0,15,0.212%,5,G1,5
354,95,759,1976,18.7,16.35,14,16.7,96.53,0,19,0.423%,6,G1,5
355,93.5,771,1988,12.2,18.3,7.5,16.7,97.42,1.2,16,-1.579%,7,G1,5
356,93.7,778,1995,7,18.3,2,16.4,94.39,6.5,18,0.214%,8,G1,5
357,94.4,783,2001,5.4,17.5,0.1,16.4,98.59,0.8,21,0.747%,9,G1,5
358,94.2,787,2004,3.5,18.45,0.5,16.7,98.81,1.4,15,-0.212%,10,G1,5
359,95.1,790,2008,3.5,17.75,0.7,16.4,101.24,0.3,13,0.955%,11,G1,5
360,95.3,805,2023,14.9,13.55,14.3,16.7,97.31,3.8,14,0.210%,12,G1,5
361,95.4,815,2032,9.7,20.35,6.7,16.4,104.13,0,27,0.105%,13,G1,5
362,94,826,2043,11.2,16.6,12.8,16.1,96.65,0.4,20,-1.468%,14,G1,5
363,95.3,837,2054,10.6,17.6,7.6,16.1,112.54,0,25,1.383%,15,G1,5
364,95.2,856,2073,19.2,15.4,3.2,15.8,113.91,0,20,-0.105%,16,G1,5
365,94.3,868,2085,11.8,19.2,10.3,15.7,116.38,0,24,-0.945%,17,G1,5
366,93.5,877,2095,9.6,17.7,2.5,16.1,106.58,0.3,15,-0.848%,18,G1,5
367,94.8,892,2109,14.4,13.6,5.9,16.4,109.21,0,18,1.390%,19,G1,5
368,96.3,901,2118,9.1,15.65,0.4,16.4,108.96,43.3,17,1.582%,20,G1,5
369,108.3,787,2004,3.5,18.45,0.5,16.7,98.81,1.4,15,0.838%,1,G2,5
370,107.7,790,2008,3.5,17.75,0.7,16.4,101.24,0.3,13,-0.554%,2,G2,5
371,106.1,805,2023,14.9,13.55,14.3,16.7,97.31,3.8,14,-1.486%,3,G2,5
372,105.4,815,2032,9.7,20.35,6.7,16.4,104.13,0,27,-0.660%,4,G2,5
373,107.1,826,2043,11.2,16.6,12.8,16.1,96.65,0.4,20,1.613%,5,G2,5
374,105.3,837,2054,10.6,17.6,7.6,16.1,112.54,0,25,-1.681%,6,G2,5
375,106.2,856,2073,19.2,15.4,3.2,15.8,113.91,0,20,0.855%,7,G2,5
376,107.1,868,2085,11.8,19.2,10.3,15.7,116.38,0,24,0.847%,8,G2,5
377,106.3,877,2095,9.6,17.7,2.5,16.1,106.58,0.3,15,-0.747%,9,G2,5
378,106.3,892,2109,14.4,13.6,5.9,16.4,109.21,0,18,0.000%,10,G2,5
379,107.2,901,2118,9.1,15.65,0.4,16.4,108.96,43.3,17,0.847%,11,G2,5
380,107.6,907,2124,6,14.5,7.1,16.2,94.89,0.8,30,0.373%,12,G2,5
381,107.4,918,2135,10.7,12.25,2.2,16.1,100.3,11.3,18,-0.186%,13,G2,5
382,106.7,924,2141,6.6,16.9,2.5,16.1,102.38,3,28,-0.652%,14,G2,5
383,105.5,930,2147,5.4,15.7,3.3,16.1,103.05,3.8,26,-1.125%,15,G2,5
384,104.1,939,2156,9.6,13.1,4.9,15.7,101.32,3.7,21,-1.327%,16,G2,5
385,102.6,946,2163,6.6,12.5,0.8,15.7,106.37,0.2,14,-1.441%,17,G2,5
386,103,962,2179,16.3,12.15,6.3,15.7,101.31,0,17,0.390%,18,G2,5
387,101.6,974,2191,11.6,15.6,10.5,15.7,101.89,0,15,-1.359%,19,G2,5
388,100.3,988,2206,14.8,16.1,10.5,15.7,111.93,0,18,-1.280%,20,G2,5
389,101.1,1002,2220,13.8,18.7,7.7,15.4,109.92,0,22,0.798%,21,G2,5
390,100.7,1011,2228,8.4,17.4,6.9,15.4,106.5,0,21,-0.396%,22,G2,5
391,101.1,1019,2237,8.7,18.05,3,15.4,108.08,1.2,21,0.397%,23,G2,5
392,79,588,1805,11.8,16.7,13,17.1,94.08,0.2,18,-0.126%,1,G3,5
393,79.2,598,1815,9.7,15.35,1.7,17.1,94.51,1.2,19,0.253%,2,G3,5
394,80,613,1831,15.5,17.05,13.3,17.4,97.31,0,15,1.010%,3,G3,5
395,79.3,630,1847,16.6,16.9,15.7,17.3,97.11,0,16,-0.875%,4,G3,5
396,80.4,648,1866,18.5,20.95,9.5,17.4,96.06,0,22,1.387%,5,G3,5
397,79.1,660,1877,11.6,21.3,9,17.1,98.17,0,15,-1.617%,6,G3,5
398,79.6,673,1890,12.8,15.5,11.5,17.4,91.97,3.1,15,0.632%,7,G3,5
399,79.1,687,1905,14.5,21.65,12,17.1,93.93,0,21,-0.628%,8,G3,5
400,79.4,699,1916,11.7,16.85,6,16.7,97.89,4.3,22,0.379%,9,G3,5
401,79.8,711,1929,12.3,16.25,6.7,16.4,98.88,0.7,18,0.504%,10,G3,5
402,80,722,1939,10.8,17,6.3,16.8,98.88,1.1,22,0.251%,11,G3,5
403,80.6,729,1946,6.5,16.35,1.7,16.2,102.38,7.8,20,0.750%,12,G3,5
404,80,740,1957,11.5,13.05,9.6,16.7,101.64,0,15,-0.744%,13,G3,5
405,78.8,759,1976,18.7,16.35,14,16.7,96.53,0,19,-1.500%,14,G3,5
406,80.6,771,1988,12.2,18.3,7.5,16.7,97.42,1.2,16,2.284%,15,G3,5
407,79.3,778,1995,7,18.3,2,16.4,94.39,6.5,18,-1.613%,16,G3,5
408,78.9,783,2001,5.4,17.5,0.1,16.4,98.59,0.8,21,-0.504%,17,G3,5
409,79.2,787,2004,3.5,18.45,0.5,16.7,98.81,1.4,15,0.380%,18,G3,5
410,78.6,790,2008,3.5,17.75,0.7,16.4,101.24,0.3,13,-0.758%,19,G3,5
411,77.2,805,2023,14.9,13.55,14.3,16.7,97.31,3.8,14,-1.781%,20,G3,5
412,90.6,699,1916,11.7,16.85,6,16.7,97.89,4.3,22,0.332%,1,G4,5
413,92.9,711,1929,12.3,16.25,6.7,16.4,98.88,0.7,18,2.539%,2,G4,5
414,92.7,722,1939,10.8,17,6.3,16.8,98.88,1.1,22,-0.215%,3,G4,5
415,92.9,729,1946,6.5,16.35,1.7,16.2,102.38,7.8,20,0.216%,4,G4,5
416,94.2,740,1957,11.5,13.05,9.6,16.7,101.64,0,15,1.399%,5,G4,5
417,95.1,759,1976,18.7,16.35,14,16.7,96.53,0,19,0.955%,6,G4,5
418,95.2,771,1988,12.2,18.3,7.5,16.7,97.42,1.2,16,0.105%,7,G4,5
419,96.2,778,1995,7,18.3,2,16.4,94.39,6.5,18,1.050%,8,G4,5
420,95.8,783,2001,5.4,17.5,0.1,16.4,98.59,0.8,21,-0.416%,9,G4,5
421,94.3,787,2004,3.5,18.45,0.5,16.7,98.81,1.4,15,-1.566%,10,G4,5
422,95,790,2008,3.5,17.75,0.7,16.4,101.24,0.3,13,0.742%,11,G4,5
423,95.9,805,2023,14.9,13.55,14.3,16.7,97.31,3.8,14,0.947%,12,G4,5
424,95.9,815,2032,9.7,20.35,6.7,16.4,104.13,0,27,0.000%,13,G4,5
425,95.5,826,2043,11.2,16.6,12.8,16.1,96.65,0.4,20,-0.417%,14,G4,5
426,95,837,2054,10.6,17.6,7.6,16.1,112.54,0,25,-0.524%,15,G4,5
427,94.7,856,2073,19.2,15.4,3.2,15.8,113.91,0,20,-0.316%,16,G4,5
428,95.2,868,2085,11.8,19.2,10.3,15.7,116.38,0,24,0.528%,17,G4,5
429,94.4,877,2095,9.6,17.7,2.5,16.1,106.58,0.3,15,-0.840%,18,G4,5
430,94.2,892,2109,14.4,13.6,5.9,16.4,109.21,0,18,-0.212%,19,G4,5
431,93.5,901,2118,9.1,15.65,0.4,16.4,108.96,43.3,17,-0.743%,20,G4,5
432,92.6,907,2124,6,14.5,7.1,16.2,94.89,0.8,30,-0.963%,21,G4,5
433,93.2,918,2135,10.7,12.25,2.2,16.1,100.3,11.3,18,0.648%,22,G4,5
434,93.8,924,2141,6.6,16.9,2.5,16.1,102.38,3,28,0.644%,23,G4,5
435,93.1,930,2147,5.4,15.7,3.3,16.1,103.05,3.8,26,-0.746%,24,G4,5
436,76.2,613,1831,15.5,17.05,13.3,17.4,97.31,0,15,-0.781%,1,G5,5
437,76.5,630,1847,16.6,16.9,15.7,17.3,97.11,0,16,0.394%,2,G5,5
438,77.5,648,1866,18.5,20.95,9.5,17.4,96.06,0,22,1.307%,3,G5,5
439,78.2,660,1877,11.6,21.3,9,17.1,98.17,0,15,0.903%,4,G5,5
440,80.9,673,1890,12.8,15.5,11.5,17.4,91.97,3.1,15,3.453%,5,G5,5
441,80.9,687,1905,14.5,21.65,12,17.1,93.93,0,21,0.000%,6,G5,5
442,80.5,699,1916,11.7,16.85,6,16.7,97.89,4.3,22,-0.494%,7,G5,5
443,80.4,711,1929,12.3,16.25,6.7,16.4,98.88,0.7,18,-0.124%,8,G5,5
444,79.2,722,1939,10.8,17,6.3,16.8,98.88,1.1,22,-1.493%,9,G5,5
445,79.9,729,1946,6.5,16.35,1.7,16.2,102.38,7.8,20,0.884%,10,G5,5
446,81.2,740,1957,11.5,13.05,9.6,16.7,101.64,0,15,1.627%,11,G5,5
447,81.1,759,1976,18.7,16.35,14,16.7,96.53,0,19,-0.123%,12,G5,5
448,80.8,771,1988,12.2,18.3,7.5,16.7,97.42,1.2,16,-0.370%,13,G5,5
449,81.4,778,1995,7,18.3,2,16.4,94.39,6.5,18,0.743%,14,G5,5
450,82.5,783,2001,5.4,17.5,0.1,16.4,98.59,0.8,21,1.351%,15,G5,5
451,83.4,787,2004,3.5,18.45,0.5,16.7,98.81,1.4,15,1.091%,16,G5,5
452,82.1,790,2008,3.5,17.75,0.7,16.4,101.24,0.3,13,-1.559%,17,G5,5
453,82.9,805,2023,14.9,13.55,14.3,16.7,97.31,3.8,14,0.974%,18,G5,5
454,83.3,815,2032,9.7,20.35,6.7,16.4,104.13,0,27,0.483%,19,G5,5
455,82.3,826,2043,11.2,16.6,12.8,16.1,96.65,0.4,20,-1.200%,20,G5,5
456,82.1,837,2054,10.6,17.6,7.6,16.1,112.54,0,25,-0.243%,21,G5,5
457,82.3,856,2073,19.2,15.4,3.2,15.8,113.91,0,20,0.244%,22,G5,5
458,90,699,1916,11.7,16.85,6,16.7,97.89,4.3,22,-0.442%,1,GT,5
459,90.4,711,1929,12.3,16.25,6.7,16.4,98.88,0.7,18,0.444%,2,GT,5
460,90.5,722,1939,10.8,17,6.3,16.8,98.88,1.1,22,0.111%,3,GT,5
461,91,729,1946,6.5,16.35,1.7,16.2,102.38,7.8,20,0.552%,4,GT,5
462,91.1,740,1957,11.5,13.05,9.6,16.7,101.64,0,15,0.110%,5,GT,5
463,91,759,1976,18.7,16.35,14,16.7,96.53,0,19,-0.110%,6,GT,5
464,91.1,771,1988,12.2,18.3,7.5,16.7,97.42,1.2,16,0.110%,7,GT,5
465,91.6,778,1995,7,18.3,2,16.4,94.39,6.5,18,0.549%,8,GT,5
466,91.8,783,2001,5.4,17.5,0.1,16.4,98.59,0.8,21,0.218%,9,GT,5
467,91.9,787,2004,3.5,18.45,0.5,16.7,98.81,1.4,15,0.109%,10,GT,5
468,91.7,790,2008,3.5,17.75,0.7,16.4,101.24,0.3,13,-0.218%,11,GT,5
469,91.5,805,2023,14.9,13.55,14.3,16.7,97.31,3.8,14,-0.218%,12,GT,5
470,91.3,815,2032,9.7,20.35,6.7,16.4,104.13,0,27,-0.219%,13,GT,5
471,91.3,826,2043,11.2,16.6,12.8,16.1,96.65,0.4,20,0.000%,14,GT,5
472,91.2,837,2054,10.6,17.6,7.6,16.1,112.54,0,25,-0.110%,15,GT,5
473,91.3,856,2073,19.2,15.4,3.2,15.8,113.91,0,20,0.110%,16,GT,5
474,91.2,868,2085,11.8,19.2,10.3,15.7,116.38,0,24,-0.110%,17,GT,5
475,90.5,877,2095,9.6,17.7,2.5,16.1,106.58,0.3,15,-0.768%,18,GT,5
476,90.8,892,2109,14.4,13.6,5.9,16.4,109.21,0,18,0.331%,19,GT,5
477,90.7,901,2118,9.1,15.65,0.4,16.4,108.96,43.3,17,-0.110%,20,GT,5
478,96.5,907,2124,6,14.5,7.1,16.2,94.89,0.8,30,0.208%,1,G1,6
479,96.2,918,2135,10.7,12.25,2.2,16.1,100.3,11.3,18,-0.311%,2,G1,6
480,96,924,2141,6.6,16.9,2.5,16.1,102.38,3,28,-0.208%,3,G1,6
481,95.6,930,2147,5.4,15.7,3.3,16.1,103.05,3.8,26,-0.417%,4,G1,6
482,95.6,939,2156,9.6,13.1,4.9,15.7,101.32,3.7,21,0.000%,5,G1,6
483,95.3,946,2163,6.6,12.5,0.8,15.7,106.37,0.2,14,-0.314%,6,G1,6
484,95.3,962,2179,16.3,12.15,6.3,15.7,101.31,0,17,0.000%,7,G1,6
485,95.3,974,2191,11.6,15.6,10.5,15.7,101.89,0,15,0.000%,8,G1,6
486,94.8,988,2206,14.8,16.1,10.5,15.7,111.93,0,18,-0.525%,9,G1,6
487,94.9,1002,2220,13.8,18.7,7.7,15.4,109.92,0,22,0.105%,10,G1,6
488,94.9,1011,2228,8.4,17.4,6.9,15.4,106.5,0,21,0.000%,11,G1,6
489,94.4,1019,2237,8.7,18.05,3,15.4,108.08,1.2,21,-0.527%,12,G1,6
490,94.8,1034,2251,14.3,16.65,6,15.4,111.06,0,17,0.424%,13,G1,6
491,94.4,1046,2264,12.8,15.4,6.7,15,114.61,0,13,-0.422%,14,G1,6
492,95.1,1062,2279,15.5,15.25,11.4,15.1,104.12,0,17,0.742%,15,G1,6
493,93.8,1079,2297,17.5,17.95,11.4,15.4,104.26,0,17,-1.367%,16,G1,6
494,101,1034,2251,14.3,16.65,6,15.4,111.06,0,17,-0.099%,1,G2,6
495,101.1,1046,2264,12.8,15.4,6.7,15,114.61,0,13,0.099%,2,G2,6
496,101,1062,2279,15.5,15.25,11.4,15.1,104.12,0,17,-0.099%,3,G2,6
497,99.1,1079,2297,17.5,17.95,11.4,15.4,104.26,0,17,-1.881%,4,G2,6
498,76.5,815,2032,9.7,20.35,6.7,16.4,104.13,0,27,-0.907%,1,G3,6
499,77.9,826,2043,11.2,16.6,12.8,16.1,96.65,0.4,20,1.830%,2,G3,6
500,78.5,837,2054,10.6,17.6,7.6,16.1,112.54,0,25,0.770%,3,G3,6
501,78.1,856,2073,19.2,15.4,3.2,15.8,113.91,0,20,-0.510%,4,G3,6
502,77.3,868,2085,11.8,19.2,10.3,15.7,116.38,0,24,-1.024%,5,G3,6
503,76.8,877,2095,9.6,17.7,2.5,16.1,106.58,0.3,15,-0.647%,6,G3,6
504,76.7,892,2109,14.4,13.6,5.9,16.4,109.21,0,18,-0.130%,7,G3,6
505,75.7,901,2118,9.1,15.65,0.4,16.4,108.96,43.3,17,-1.304%,8,G3,6
506,72.5,907,2124,6,14.5,7.1,16.2,94.89,0.8,30,-4.227%,9,G3,6
507,72,918,2135,10.7,12.25,2.2,16.1,100.3,11.3,18,-0.690%,10,G3,6
508,72.6,924,2141,6.6,16.9,2.5,16.1,102.38,3,28,0.833%,11,G3,6
509,70.4,930,2147,5.4,15.7,3.3,16.1,103.05,3.8,26,-3.030%,12,G3,6
510,69.9,939,2156,9.6,13.1,4.9,15.7,101.32,3.7,21,-0.710%,13,G3,6
511,72.8,946,2163,6.6,12.5,0.8,15.7,106.37,0.2,14,4.149%,14,G3,6
512,70.8,962,2179,16.3,12.15,6.3,15.7,101.31,0,17,-2.747%,15,G3,6
513,72.8,974,2191,11.6,15.6,10.5,15.7,101.89,0,15,2.825%,16,G3,6
514,69.7,988,2206,14.8,16.1,10.5,15.7,111.93,0,18,-4.258%,17,G3,6
515,69.6,1002,2220,13.8,18.7,7.7,15.4,109.92,0,22,-0.143%,18,G3,6
516,67.6,1011,2228,8.4,17.4,6.9,15.4,106.5,0,21,-2.874%,19,G3,6
517,68.1,1019,2237,8.7,18.05,3,15.4,108.08,1.2,21,0.740%,20,G3,6
518,70.1,1034,2251,14.3,16.65,6,15.4,111.06,0,17,2.937%,21,G3,6
519,67.8,1046,2264,12.8,15.4,6.7,15,114.61,0,13,-3.281%,22,G3,6
520,68.1,1062,2279,15.5,15.25,11.4,15.1,104.12,0,17,0.442%,23,G3,6
521,68.9,1079,2297,17.5,17.95,11.4,15.4,104.26,0,17,1.175%,24,G3,6
522,92,939,2156,9.6,13.1,4.9,15.7,101.32,3.7,21,-1.182%,1,G4,6
523,91.3,946,2163,6.6,12.5,0.8,15.7,106.37,0.2,14,-0.761%,2,G4,6
524,89.1,962,2179,16.3,12.15,6.3,15.7,101.31,0,17,-2.410%,3,G4,6
525,88.6,974,2191,11.6,15.6,10.5,15.7,101.89,0,15,-0.561%,4,G4,6
526,87.3,988,2206,14.8,16.1,10.5,15.7,111.93,0,18,-1.467%,5,G4,6
527,86.4,1002,2220,13.8,18.7,7.7,15.4,109.92,0,22,-1.031%,6,G4,6
528,87.1,1011,2228,8.4,17.4,6.9,15.4,106.5,0,21,0.810%,7,G4,6
529,86.8,1019,2237,8.7,18.05,3,15.4,108.08,1.2,21,-0.344%,8,G4,6
530,87.1,1034,2251,14.3,16.65,6,15.4,111.06,0,17,0.346%,9,G4,6
531,86.8,1046,2264,12.8,15.4,6.7,15,114.61,0,13,-0.344%,10,G4,6
532,87.3,1062,2279,15.5,15.25,11.4,15.1,104.12,0,17,0.576%,11,G4,6
533,87.1,1079,2297,17.5,17.95,11.4,15.4,104.26,0,17,-0.229%,12,G4,6
534,82.4,868,2085,11.8,19.2,10.3,15.7,116.38,0,24,0.122%,1,G5,6
535,81.3,877,2095,9.6,17.7,2.5,16.1,106.58,0.3,15,-1.335%,2,G5,6
536,81.9,892,2109,14.4,13.6,5.9,16.4,109.21,0,18,0.738%,3,G5,6
537,80.8,901,2118,9.1,15.65,0.4,16.4,108.96,43.3,17,-1.343%,4,G5,6
538,80.8,907,2124,6,14.5,7.1,16.2,94.89,0.8,30,0.000%,5,G5,6
539,79.2,918,2135,10.7,12.25,2.2,16.1,100.3,11.3,18,-1.980%,6,G5,6
540,80.4,924,2141,6.6,16.9,2.5,16.1,102.38,3,28,1.515%,7,G5,6
541,78.65,930,2147,5.4,15.7,3.3,16.1,103.05,3.8,26,-2.177%,8,G5,6
542,76.8,939,2156,9.6,13.1,4.9,15.7,101.32,3.7,21,-2.352%,9,G5,6
543,77.25,946,2163,6.6,12.5,0.8,15.7,106.37,0.2,14,0.586%,10,G5,6
544,77.35,962,2179,16.3,12.15,6.3,15.7,101.31,0,17,0.129%,11,G5,6
545,76.75,974,2191,11.6,15.6,10.5,15.7,101.89,0,15,-0.776%,12,G5,6
546,76.9,988,2206,14.8,16.1,10.5,15.7,111.93,0,18,0.195%,13,G5,6
547,76.55,1002,2220,13.8,18.7,7.7,15.4,109.92,0,22,-0.455%,14,G5,6
548,75.2,1011,2228,8.4,17.4,6.9,15.4,106.5,0,21,-1.764%,15,G5,6
549,75,1019,2237,8.7,18.05,3,15.4,108.08,1.2,21,-0.266%,16,G5,6
550,75.7,1034,2251,14.3,16.65,6,15.4,111.06,0,17,0.933%,17,G5,6
551,75.2,1046,2264,12.8,15.4,6.7,15,114.61,0,13,-0.661%,18,G5,6
552,74.95,1062,2279,15.5,15.25,11.4,15.1,104.12,0,17,-0.332%,19,G5,6
553,75.6,1079,2297,17.5,17.95,11.4,15.4,104.26,0,17,0.867%,20,G5,6
554,90,907,2124,6,14.5,7.1,16.2,94.89,0.8,30,-0.772%,1,GT,6
555,89.6,918,2135,10.7,12.25,2.2,16.1,100.3,11.3,18,-0.444%,2,GT,6
556,89.9,924,2141,6.6,16.9,2.5,16.1,102.38,3,28,0.335%,3,GT,6
557,88.5,930,2147,5.4,15.7,3.3,16.1,103.05,3.8,26,-1.557%,4,GT,6
558,87.9,939,2156,9.6,13.1,4.9,15.7,101.32,3.7,21,-0.678%,5,GT,6
559,88,946,2163,6.6,12.5,0.8,15.7,106.37,0.2,14,0.114%,6,GT,6
560,86.9,962,2179,16.3,12.15,6.3,15.7,101.31,0,17,-1.250%,7,GT,6
561,86.8,974,2191,11.6,15.6,10.5,15.7,101.89,0,15,-0.115%,8,GT,6
562,85.8,988,2206,14.8,16.1,10.5,15.7,111.93,0,18,-1.152%,9,GT,6
563,85.7,1002,2220,13.8,18.7,7.7,15.4,109.92,0,22,-0.117%,10,GT,6
564,85.1,1011,2228,8.4,17.4,6.9,15.4,106.5,0,21,-0.700%,11,GT,6
565,85.3,1019,2237,8.7,18.05,3,15.4,108.08,1.2,21,0.235%,12,GT,6
566,86,1034,2251,14.3,16.65,6,15.4,111.06,0,17,0.821%,13,GT,6
567,85.3,1046,2264,12.8,15.4,6.7,15,114.61,0,13,-0.814%,14,GT,6
568,85.6,1062,2279,15.5,15.25,11.4,15.1,104.12,0,17,0.352%,15,GT,6
569,85,1079,2297,17.5,17.95,11.4,15.4,104.26,0,17,-0.701%,16,GT,6
